LotArea,Neighborhood,OverallQuality,YearBuilt,Material,BasementSize,CentralAir,HouseSize,SalePrice
10800.0,Old Town,4.0,1885.0,Vinyl Siding,641.0,True,1047.0,100000
6000.0,Old Town,5.0,1948.0,Vinyl Siding,789.0,True,789.0,115000
8500.0,Iowa DOT and Rail Road,5.0,1919.0,Cement Board,793.0,,1517.0,115000
11751.0,Northwest Ames,6.0,1977.0,Plywood,1844.0,True,1844.0,190000
9525.0,Edwards,6.0,1954.0,Wood Siding,,True,1855.0,136900
7750.0,Gilbert,7.0,2000.0,Vinyl Siding,384.0,True,1430.0,180000
9965.0,College Creek,7.0,2007.0,Vinyl Siding,1264.0,True,2696.0,383970
21000.0,Crawford,6.0,1953.0,Wood Siding,1809.0,True,2259.0,217000
7259.0,Crawford,6.0,1945.0,Wood Siding,1028.0,True,2320.0,259500
3230.0,Somerset,6.0,1999.0,Metal Siding,729.0,True,1458.0,176000
11616.0,Sawyer,5.0,1962.0,Wood Siding,1092.0,True,1092.0,139000
12376.0,Sawyer West,7.0,1990.0,Plywood,1673.0,True,3222.0,320000
8461.0,College Creek,6.0,2005.0,Vinyl Siding,728.0,True,1456.0,163990
21453.0,Clear Creek,6.0,1969.0,Plywood,,True,988.0,180000
6060.0,Iowa DOT and Rail Road,4.0,1939.0,Asbestos Shingles,732.0,True,1123.0,100000
9464.0,North Ames,6.0,1958.0,Metal Siding,1080.0,True,1080.0,136000
7892.0,Sawyer West,6.0,1993.0,Plywood,1199.0,True,1199.0,153900
17043.0,Northwest Ames,6.0,1979.0,Hard Board,1362.0,True,1586.0,181000
4928.0,Northpark Villa,6.0,1976.0,Plywood,1078.0,,958.0,128000
4388.0,Old Town,5.0,1930.0,Wood Shingles,672.0,True,840.0,87000
7590.0,North Ames,6.0,1966.0,Vinyl Siding,660.0,True,1348.0,155000
8973.0,North Ames,5.0,1958.0,Plywood,1008.0,True,1053.0,150000
14200.0,North Ames,7.0,1966.0,Metal Siding,924.0,True,2157.0,226000
7388.0,North Ames,5.0,1959.0,Metal Siding,1063.0,True,1327.0,150750
6853.0,Timberland,8.0,2001.0,Vinyl Siding,1267.0,True,1296.0,220000
10400.0,Northwest Ames,7.0,1970.0,Plywood,1304.0,True,1682.0,174000
10355.0,North Ames,5.0,1967.0,Metal Siding,1214.0,True,1214.0,143000
11070.0,Mitchell,7.0,1988.0,Vinyl Siding,1907.0,True,1959.0,171000
9066.0,College Creek,8.0,1999.0,Vinyl Siding,1004.0,True,1852.0,230000
15426.0,College Creek,6.0,1997.0,Vinyl Siding,928.0,True,1764.0,231500
10500.0,North Ames,,,Hard Board,864.0,True,864.0,115000
11645.0,College Creek,7.0,2005.0,Vinyl Siding,1734.0,True,1734.0,260000
8520.0,North Ames,5.0,1952.0,Brick Face,910.0,True,1385.0,166000
10335.0,College Creek,7.0,1999.0,Vinyl Siding,1490.0,True,1501.0,204000
9100.0,Sawyer,5.0,1963.0,Hard Board,1728.0,True,1728.0,125000
2522.0,Edwards,6.0,2004.0,Vinyl Siding,970.0,True,1709.0,130000
6120.0,Brookside,5.0,1931.0,Wood Siding,715.0,True,875.0,105000
9505.0,Gilbert,7.0,2001.0,Vinyl Siding,884.0,True,2035.0,222500
7500.0,Sawyer West,7.0,2004.0,Vinyl Siding,1080.0,True,1080.0,141000
6240.0,Brookside,5.0,,Metal Siding,896.0,,1344.0,115000
10356.0,College Creek,,1975.0,Hard Board,969.0,True,969.0,122000
13891.0,Northridge Heights,8.0,2007.0,Vinyl Siding,1710.0,True,1710.0,372402
14803.0,Northwest Ames,6.0,1971.0,Hard Board,825.0,True,1993.0,190000
13500.0,Clear Creek,6.0,1960.0,Brick Face,1602.0,True,1252.0,235000
11340.0,Old Town,6.0,1923.0,Wood Siding,1200.0,True,1200.0,125000
9600.0,Edwards,6.0,1924.0,Wood Siding,572.0,False,1096.0,79000
7200.0,North Ames,5.0,1950.0,Wood Siding,0.0,True,1040.0,109500
12003.0,Timberland,8.0,2009.0,Vinyl Siding,774.0,True,1968.0,269500
12552.0,Somerset,7.0,2004.0,Vinyl Siding,991.0,True,1947.0,254900
19378.0,Gilbert,7.0,2005.0,Vinyl Siding,1392.0,True,2462.0,320000
11120.0,Veenker,,1984.0,Plywood,1232.0,True,1232.0,162500
13688.0,Northridge Heights,9.0,2003.0,Vinyl Siding,1572.0,True,2668.0,412500
12182.0,Northridge Heights,7.0,2005.0,Vinyl Siding,1541.0,True,1541.0,220000
5500.0,Old Town,,1956.0,Metal Siding,882.0,True,882.0,103200
5400.0,Old Town,6.0,1926.0,,1149.0,True,1616.0,152000
10106.0,Edwards,5.0,1940.0,Wood Siding,644.0,True,1355.0,127500
10708.0,Clear Creek,5.0,1955.0,Wood Siding,1617.0,True,1867.0,190000
10562.0,Northridge Heights,8.0,2007.0,Vinyl Siding,1582.0,True,2161.0,325624
8244.0,Gilbert,7.0,2004.0,Vinyl Siding,840.0,True,1720.0,183500
16669.0,,8.0,1981.0,Plywood,1686.0,True,1707.0,228000
31770.0,North Ames,6.0,1960.0,Brick Face,1080.0,True,1656.0,215000
5306.0,Stone Brook,7.0,1987.0,Hard Board,1064.0,True,1767.0,239000
10197.0,North Ames,,1961.0,Wood Shingles,1362.0,True,1362.0,163000
12416.0,Timberland,6.0,1986.0,Vinyl Siding,1606.0,True,1651.0,184000
12615.0,Edwards,6.0,1950.0,Wood Shingles,1202.0,True,2158.0,243000
10029.0,Clear Creek,6.0,1988.0,Plywood,1151.0,True,2060.0,211000
13650.0,Sawyer,5.0,1958.0,Metal Siding,,True,1920.0,172500
17423.0,Stone Brook,9.0,2008.0,Vinyl Siding,2216.0,True,2234.0,501837
2117.0,Somerset,6.0,2000.0,Metal Siding,756.0,True,1525.0,177000
7588.0,Crawford,7.0,1920.0,Stucco,793.0,,1802.0,200100
9060.0,Edwards,5.0,1957.0,Wood Siding,0.0,True,1340.0,120000
11426.0,Old Town,7.0,2003.0,Vinyl Siding,1362.0,True,2082.0,200000
7438.0,Brookside,5.0,,Asbestos Shingles,504.0,True,1252.0,127000
22950.0,Old Town,,1892.0,Wood Siding,1107.0,True,3608.0,475000
9947.0,Mitchell,7.0,1990.0,Hard Board,1188.0,True,1217.0,173000
10410.0,Old Town,5.0,1916.0,Hard Board,660.0,True,1656.0,135000
7018.0,Sawyer West,5.0,1979.0,Plywood,1086.0,True,1224.0,153337
10570.0,Crawford,8.0,1932.0,,853.0,True,2727.0,315000
7472.0,North Ames,7.0,1972.0,Hard Board,725.0,True,1479.0,184000
,College Creek,7.0,1999.0,Vinyl Siding,1431.0,True,1431.0,192000
2522.0,Edwards,7.0,2004.0,Vinyl Siding,970.0,True,1709.0,130000
7180.0,College Creek,5.0,1972.0,Hard Board,864.0,True,864.0,127000
2280.0,Northpark Villa,,1976.0,Plywood,855.0,True,1456.0,148500
25419.0,,8.0,,Stucco,1360.0,True,3112.0,235000
5520.0,Old Town,6.0,1912.0,Wood Siding,755.0,True,2229.0,104000
9591.0,Northridge Heights,8.0,2004.0,Vinyl Siding,1713.0,True,1713.0,274900
8546.0,Edwards,4.0,2003.0,Vinyl Siding,1121.0,True,1121.0,140000
10125.0,Mitchell,6.0,1977.0,Plywood,1196.0,True,1279.0,171500
7000.0,Old Town,6.0,1924.0,Metal Siding,617.0,True,1310.0,112000
4438.0,College Creek,6.0,2004.0,Vinyl Siding,848.0,True,848.0,149000
3500.0,Old Town,5.0,1947.0,Asbestos Shingles,720.0,True,1284.0,110000
11851.0,Gilbert,7.0,1990.0,Hard Board,1424.0,True,1442.0,180500
13673.0,Sawyer,5.0,1962.0,Hard Board,1140.0,True,1696.0,143900
12493.0,North Ames,4.0,1960.0,Wood Siding,1100.0,True,1100.0,141000
8250.0,North Ames,6.0,1964.0,Hard Board,1092.0,True,1092.0,145000
10420.0,Edwards,6.0,2009.0,Vinyl Siding,1212.0,True,1212.0,186000
13568.0,College Creek,5.0,1995.0,Vinyl Siding,990.0,True,990.0,156000
10900.0,College Creek,6.0,1977.0,Hard Board,689.0,True,1392.0,161750
10011.0,North Ames,5.0,1957.0,Hard Board,1070.0,True,1236.0,134450
8450.0,College Creek,7.0,2004.0,Vinyl Siding,1436.0,True,1436.0,210000
9906.0,Old Town,4.0,1925.0,Metal Siding,686.0,False,1328.0,107000
15660.0,Crawford,7.0,1939.0,Vinyl Siding,798.0,True,1954.0,311500
3010.0,Bloomington Heights,7.0,2005.0,Vinyl Siding,1248.0,True,1248.0,167240
8068.0,Gilbert,6.0,2002.0,Vinyl Siding,1010.0,True,2267.0,200000
11475.0,Northwest Ames,6.0,1975.0,Vinyl Siding,713.0,True,1552.0,179900
10500.0,North Ames,4.0,1971.0,,864.0,True,864.0,97000
13472.0,Northridge Heights,10.0,2003.0,Vinyl Siding,2392.0,True,2392.0,386250
1680.0,Briardale,5.0,1971.0,Hard Board,630.0,True,1302.0,112000
9950.0,Northridge,7.0,1995.0,Vinyl Siding,,True,2520.0,290000
1869.0,Briardale,6.0,1970.0,Hard Board,483.0,True,987.0,106000
8521.0,Sawyer,5.0,1967.0,Hard Board,912.0,True,912.0,125000
3182.0,Bloomington Heights,,2005.0,Vinyl Siding,1373.0,True,1555.0,192500
8760.0,North Ames,6.0,1959.0,Metal Siding,1194.0,True,1194.0,148000
15138.0,Northridge,8.0,1995.0,Vinyl Siding,1462.0,True,2794.0,403000
1680.0,Briardale,6.0,,Hard Board,483.0,True,987.0,94500
10650.0,College Creek,,1976.0,Hard Board,894.0,True,894.0,128200
7851.0,Gilbert,6.0,2002.0,Vinyl Siding,860.0,True,1960.0,216500
1680.0,Briardale,6.0,1971.0,Hard Board,483.0,True,987.0,89500
8773.0,College Creek,7.0,2004.0,Vinyl Siding,1414.0,True,1414.0,185500
9453.0,Sawyer West,7.0,1993.0,Hard Board,996.0,True,1744.0,194500
12030.0,Northridge Heights,8.0,2007.0,Vinyl Siding,1694.0,True,1694.0,318000
8741.0,Edwards,6.0,1945.0,Vinyl Siding,735.0,True,1487.0,113000
9000.0,Somerset,8.0,2008.0,Vinyl Siding,1566.0,True,1566.0,262500
3880.0,Old Town,5.0,1945.0,Vinyl Siding,686.0,,866.0,110500
5000.0,Old Town,5.0,1900.0,Wood Siding,540.0,False,1440.0,79000
10762.0,Sawyer West,6.0,,Plywood,626.0,True,1217.0,120000
8880.0,Sawyer West,7.0,1994.0,Vinyl Siding,948.0,True,2110.0,205000
10400.0,Northwest Ames,7.0,1988.0,Wood Siding,1845.0,True,1872.0,241500
9142.0,Old Town,,1910.0,Asbestos Shingles,1020.0,False,1928.0,137000
11310.0,North Ames,6.0,1954.0,Wood Siding,1367.0,True,1375.0,140000
11317.0,College Creek,7.0,2003.0,Vinyl Siding,840.0,True,1668.0,180000
5350.0,Brookside,3.0,1940.0,Wood Siding,728.0,True,1306.0,76500
4750.0,Crawford,8.0,2006.0,Vinyl Siding,1573.0,True,1625.0,235000
8366.0,Sawyer West,6.0,2004.0,Vinyl Siding,798.0,True,1640.0,173000
9350.0,North Ames,6.0,1964.0,Hard Board,,True,1302.0,158000
8400.0,North Ames,5.0,1957.0,Metal Siding,1314.0,True,1314.0,145000
8738.0,Gilbert,7.0,1999.0,Vinyl Siding,975.0,True,2291.0,230000
8791.0,Somerset,6.0,2003.0,Vinyl Siding,864.0,True,1728.0,207500
8814.0,College Creek,7.0,,Vinyl Siding,1604.0,True,1604.0,220000
12435.0,College Creek,7.0,2001.0,Vinyl Siding,963.0,True,1792.0,231500
12702.0,Old Town,5.0,1956.0,Brick Face,0.0,True,882.0,97000
19296.0,North Ames,6.0,1962.0,Wood Siding,1362.0,True,1382.0,176000
9588.0,College Creek,8.0,2007.0,Cement Board,1482.0,True,2574.0,276000
8471.0,Sawyer,6.0,1977.0,Hard Board,506.0,True,1212.0,151000
5500.0,Old Town,5.0,1929.0,Wood Siding,926.0,True,1316.0,130000
5232.0,Old Town,5.0,1925.0,Wood Siding,680.0,False,764.0,73000
,Gilbert,6.0,1997.0,Vinyl Siding,802.0,True,1511.0,185000
8400.0,South & West of Iowa State University,5.0,1939.0,Wood Siding,720.0,True,2192.0,179500
7917.0,Edwards,6.0,1976.0,,1143.0,True,1113.0,148000
39104.0,Clear Creek,7.0,1954.0,Plywood,1385.0,True,1363.0,241500
11764.0,Northridge,8.0,1999.0,Vinyl Siding,1152.0,True,2270.0,290000
9600.0,North Ames,6.0,1958.0,Wood Siding,1240.0,True,1632.0,139000
8314.0,Mitchell,5.0,1982.0,Hard Board,816.0,True,816.0,124500
7264.0,Brookside,7.0,,Wood Siding,,False,1548.0,205000
9196.0,Mitchell,7.0,2003.0,Vinyl Siding,1560.0,True,1560.0,201000
19138.0,Gilbert,4.0,1951.0,Vinyl Siding,864.0,True,864.0,141000
14450.0,Northridge Heights,9.0,2006.0,Cement Board,2121.0,True,2121.0,415298
,Clear Creek,7.0,1977.0,Plywood,1160.0,True,2022.0,192000
11287.0,Sawyer West,7.0,1989.0,Plywood,807.0,True,1982.0,228500
,Somerset,6.0,,Vinyl Siding,1262.0,True,1262.0,185000
5063.0,Northridge Heights,7.0,2007.0,Vinyl Siding,1314.0,True,1314.0,207500
9612.0,Somerset,8.0,2008.0,Vinyl Siding,1468.0,True,1468.0,244600
8012.0,Sawyer West,6.0,1992.0,Plywood,1575.0,True,1575.0,179200
4251.0,Somerset,7.0,2006.0,Metal Siding,625.0,,1250.0,164700
9786.0,North Ames,6.0,1962.0,Wood Siding,912.0,True,1734.0,159000
8125.0,North Ames,4.0,1971.0,Hard Board,858.0,True,858.0,88000
9819.0,Sawyer,5.0,1967.0,Metal Siding,882.0,True,900.0,122000
8730.0,Brookside,6.0,1915.0,Wood Siding,698.0,True,1396.0,153575
15611.0,College Creek,8.0,2006.0,Vinyl Siding,1079.0,True,1919.0,233230
5687.0,South & West of Iowa State University,5.0,1912.0,Vinyl Siding,780.0,False,1716.0,135900
11409.0,Edwards,5.0,1949.0,Wood Siding,768.0,True,1716.0,131000
16659.0,Northwest Ames,7.0,1977.0,Plywood,795.0,True,2263.0,235000
9600.0,North Ames,6.0,1953.0,Hard Board,1416.0,True,1644.0,167000
7937.0,Mitchell,,,Hard Board,1003.0,True,1003.0,142500
13710.0,Iowa DOT and Rail Road,5.0,1950.0,Wood Siding,910.0,True,1558.0,152000
7399.0,Somerset,7.0,1997.0,Vinyl Siding,975.0,True,1950.0,239000
11700.0,Northwest Ames,6.0,,Hard Board,702.0,True,1743.0,175000
14000.0,Crawford,6.0,1950.0,Hard Board,1092.0,True,1152.0,158500
15750.0,Crawford,5.0,1953.0,Metal Siding,1165.0,True,1336.0,157000
16226.0,College Creek,,1998.0,Vinyl Siding,1028.0,True,2452.0,267000
13704.0,College Creek,7.0,2001.0,Vinyl Siding,1541.0,True,1541.0,205000
9800.0,College Creek,5.0,1972.0,Vinyl Siding,894.0,True,894.0,149900
18386.0,Old Town,,1880.0,Cement Board,1470.0,True,3493.0,295000
10386.0,College Creek,8.0,,Cement Board,2000.0,True,2000.0,305900
13474.0,Sawyer West,7.0,1990.0,Hard Board,700.0,True,2243.0,225000
7920.0,Iowa DOT and Rail Road,6.0,1920.0,Metal Siding,319.0,True,1406.0,89500
12342.0,Edwards,4.0,1940.0,Vinyl Siding,,True,861.0,82500
12378.0,Northridge Heights,9.0,2003.0,Vinyl Siding,1896.0,,1944.0,360000
7685.0,Gilbert,6.0,1993.0,Hard Board,697.0,True,1501.0,165600
8000.0,North Ames,6.0,1948.0,Vinyl Siding,,True,972.0,132000
7800.0,Old Town,5.0,1939.0,Metal Siding,793.0,True,1118.0,119900
215245.0,Timberland,7.0,1965.0,Brick Face,2136.0,True,2036.0,375000
9600.0,Old Town,7.0,,Wood Siding,728.0,True,1641.0,178000
7795.0,Gilbert,7.0,2004.0,Vinyl Siding,716.0,True,1432.0,188500
13005.0,Northwest Ames,,1980.0,Cement Board,845.0,True,2353.0,260000
9000.0,Somerset,,2006.0,Vinyl Siding,1088.0,True,1959.0,270000
14115.0,Northwest Ames,7.0,1980.0,Plywood,1372.0,True,1472.0,187500
16259.0,Northridge Heights,9.0,2006.0,Vinyl Siding,1249.0,True,2596.0,342643
12099.0,Northridge Heights,8.0,2004.0,,1136.0,True,2468.0,354000
10380.0,Sawyer West,7.0,1986.0,Plywood,1502.0,True,2730.0,301000
5820.0,Old Town,3.0,1955.0,Vinyl Siding,1162.0,True,1163.0,126175
11275.0,North Ames,,1967.0,Wood Siding,710.0,True,2978.0,242000
5000.0,Iowa DOT and Rail Road,5.0,1941.0,Metal Siding,720.0,False,803.0,87000
10846.0,Veenker,8.0,1993.0,Brick Face,1719.0,True,1719.0,324000
11600.0,North Ames,6.0,1960.0,Wood Siding,1383.0,True,1383.0,145250
11888.0,Brookside,6.0,1916.0,Wood Siding,844.0,False,2134.0,214500
6402.0,Iowa DOT and Rail Road,5.0,1920.0,Wood Siding,596.0,False,1192.0,78000
10624.0,North Ames,,1964.0,Hard Board,1728.0,True,1728.0,119000
8176.0,North Ames,5.0,1958.0,Wood Siding,,True,1056.0,139000
10655.0,Northridge Heights,8.0,2003.0,Vinyl Siding,3206.0,True,1629.0,284000
8198.0,Northridge Heights,,2004.0,Vinyl Siding,1358.0,True,1358.0,207000
,Gilbert,6.0,1998.0,Vinyl Siding,943.0,True,1638.0,192000
164660.0,Timberland,5.0,1965.0,Plywood,,True,1786.0,228950
14157.0,Stone Brook,9.0,2005.0,Vinyl Siding,1922.0,,1922.0,377426
9135.0,College Creek,7.0,2002.0,Vinyl Siding,1536.0,True,1536.0,214000
14145.0,Northwest Ames,7.0,1984.0,Wood Siding,1208.0,True,1621.0,202500
12400.0,North Ames,6.0,1958.0,Wood Siding,1215.0,True,1215.0,155000
,Timberland,8.0,,Vinyl Siding,967.0,True,1908.0,202900
,Sawyer West,4.0,1950.0,Wood Siding,721.0,True,841.0,82000
8544.0,North Ames,3.0,1949.0,Stucco,0.0,False,1040.0,87500
8849.0,Northridge Heights,9.0,2005.0,Metal Siding,1684.0,True,1684.0,266000
2592.0,Meadow Village,5.0,1976.0,Cement Board,536.0,True,1112.0,85000
6435.0,Brookside,6.0,1939.0,Metal Siding,972.0,,1577.0,140200
12772.0,North Ames,6.0,,Metal Siding,958.0,True,958.0,151500
17600.0,North Ames,6.0,1960.0,Wood Siding,1478.0,True,1478.0,157500
2448.0,Northridge Heights,7.0,2003.0,Vinyl Siding,,True,1626.0,154000
20431.0,Northridge Heights,9.0,2005.0,Cement Board,1848.0,True,2728.0,437154
7820.0,,9.0,2007.0,Metal Siding,1869.0,True,1869.0,318061
5271.0,Clear Creek,7.0,1986.0,Wood Siding,1453.0,True,1453.0,190000
9084.0,Edwards,5.0,1941.0,Vinyl Siding,616.0,False,1111.0,95000
8520.0,Old Town,6.0,1928.0,Vinyl Siding,,True,720.0,105900
11249.0,College Creek,6.0,1995.0,Vinyl Siding,1200.0,True,1200.0,177500
9248.0,Gilbert,6.0,1992.0,Hard Board,1158.0,True,1167.0,173000
4224.0,Meadow Village,5.0,1976.0,Cement Board,1142.0,True,1142.0,134000
6930.0,Clear Creek,5.0,1958.0,Wood Siding,1062.0,True,1352.0,130000
7540.0,Mitchell,6.0,,,,True,912.0,156000
9144.0,Brookside,5.0,1940.0,Metal Siding,883.0,True,1505.0,145000
,Edwards,7.0,2003.0,Hard Board,0.0,True,1922.0,198500
1680.0,Briardale,,1972.0,Hard Board,483.0,True,987.0,118000
18800.0,Northwest Ames,,,Hard Board,796.0,True,1574.0,190000
10690.0,,5.0,1920.0,Vinyl Siding,672.0,True,1344.0,147000
9500.0,North Ames,6.0,1963.0,Plywood,1394.0,True,1394.0,159000
9150.0,,6.0,1962.0,Plywood,1099.0,True,1431.0,165000
7800.0,North Ames,5.0,1954.0,Hard Board,1268.0,True,1268.0,132000
9830.0,North Ames,5.0,1959.0,Wood Siding,1063.0,True,1287.0,162000
8121.0,Gilbert,6.0,2000.0,Vinyl Siding,953.0,True,1664.0,172400
17120.0,Clear Creek,4.0,1959.0,Wood Shingles,0.0,True,1588.0,134432
7175.0,Sawyer West,6.0,1984.0,Plywood,744.0,True,752.0,125000
10634.0,North Ames,5.0,1953.0,Metal Siding,608.0,True,1319.0,123000
8200.0,College Creek,7.0,2003.0,Vinyl Siding,847.0,True,1928.0,219500
