House ID,LotArea,Neighborhood,OverallQual,YearBuilt,Exterior1st,TotalBsmtSF,CentralAir,GrLivArea,SalePrice
House 131,6324.0,Brookside,4.0,1927.0,Metal Siding,520.0,False,520.0,68500
House 132,8500.0,Iowa DOT and Rail Road,4.0,1920.0,Brick Face,649.0,False,1317.0,40000
House 133,8544.0,Sawyer,5.0,1966.0,Hard Board,1228.0,True,1228.0,149350
House 134,11049.0,College Creek,8.0,2007.0,Vinyl Siding,1234.0,True,1234.0,179900
House 135,,North Ames,5.0,1959.0,Brick Face,1398.0,True,1700.0,165500
House 136,7313.0,Northridge Heights,9.0,2005.0,Metal Siding,1561.0,True,1561.0,277500
House 137,13418.0,,8.0,2004.0,Vinyl Siding,1117.0,True,2452.0,309000
House 138,10859.0,College Creek,5.0,,Vinyl Siding,1097.0,True,1097.0,145000
House 139,8532.0,North Ames,5.0,1954.0,Wood Siding,1297.0,True,1297.0,153000
House 140,7922.0,North Ames,5.0,1953.0,Vinyl Siding,1057.0,True,,109000
House 141,6040.0,Edwards,4.0,1955.0,Asbestos Shingles,,False,1152.0,82000
House 142,,North Ames,6.0,1965.0,Wood Siding,1088.0,True,1324.0,160000
House 143,16905.0,Timberland,5.0,1959.0,Vinyl Siding,1350.0,True,1328.0,170000
House 144,9180.0,Sawyer West,5.0,1983.0,Hard Board,840.0,True,884.0,144000
House 145,9200.0,College Creek,5.0,1975.0,Vinyl Siding,938.0,True,938.0,130250
House 146,7945.0,North Ames,,1959.0,Brick Face,1150.0,True,1150.0,141000
House 147,7658.0,Northridge Heights,9.0,2005.0,Metal Siding,1752.0,True,1752.0,319900
House 148,12822.0,Mitchell,7.0,2003.0,Vinyl Siding,1434.0,True,2149.0,239686
House 149,11096.0,Somerset,8.0,,Vinyl Siding,1656.0,True,1656.0,249700
House 150,4456.0,Old Town,4.0,1920.0,Metal Siding,736.0,True,1452.0,113000
House 151,7742.0,Sawyer,5.0,1966.0,Hard Board,955.0,True,955.0,127000
House 152,13869.0,Gilbert,6.0,1997.0,Vinyl Siding,794.0,True,1470.0,177000
House 153,6240.0,Brookside,6.0,1934.0,Wood Siding,816.0,True,1176.0,114500
House 154,8472.0,,5.0,1963.0,Wood Siding,816.0,False,816.0,110000
House 155,50271.0,Veenker,9.0,1981.0,Wood Shingles,,True,1842.0,385000
House 156,7134.0,North Ames,5.0,1955.0,Metal Siding,384.0,True,,130000
House 157,10175.0,North Ames,6.0,1964.0,Hard Board,1425.0,True,1425.0,180500
House 158,2645.0,Somerset,8.0,1999.0,Metal Siding,970.0,,1739.0,172500
House 159,11645.0,College Creek,7.0,2004.0,Vinyl Siding,860.0,True,1720.0,196500
House 160,,Stone Brook,10.0,2006.0,Vinyl Siding,1410.0,,2945.0,438780
House 161,7200.0,College Creek,5.0,1972.0,Hard Board,780.0,True,,124900
House 162,13072.0,Sawyer West,6.0,2004.0,Vinyl Siding,1158.0,,1158.0,158000
House 163,7200.0,Iowa DOT and Rail Road,5.0,1920.0,Metal Siding,530.0,False,1111.0,101000
House 164,6442.0,Northridge Heights,8.0,2006.0,Vinyl Siding,1370.0,True,1370.0,202500
House 165,10300.0,Old Town,7.0,,,576.0,,1710.0,140000
House 166,9375.0,,7.0,1997.0,Vinyl Siding,1057.0,True,2034.0,219500
House 167,9591.0,Northridge Heights,8.0,2004.0,Vinyl Siding,1143.0,True,2473.0,317000
House 168,19900.0,North Ames,,1970.0,Plywood,1947.0,True,2207.0,180000
House 169,10665.0,College Creek,7.0,2003.0,Vinyl Siding,1453.0,True,1479.0,226000
House 170,4608.0,Old Town,4.0,1945.0,Metal Siding,747.0,True,747.0,80000
House 171,15593.0,Clear Creek,7.0,,Brick Face,1304.0,True,2287.0,225000
House 172,13651.0,North Ames,7.0,1973.0,Plywood,2223.0,True,2223.0,244000
House 173,7599.0,Mitchell,4.0,1982.0,Hard Board,845.0,,845.0,129500
House 174,10141.0,Gilbert,7.0,1998.0,Vinyl Siding,832.0,True,1718.0,185000
House 175,10200.0,North Ames,5.0,1954.0,Wood Siding,1086.0,True,1086.0,144900
House 176,5790.0,Old Town,3.0,1915.0,Vinyl Siding,,False,1605.0,107400
House 177,1596.0,Meadow Village,4.0,1973.0,Cement Board,462.0,True,988.0,91000
House 178,8475.0,North Ames,4.0,1956.0,Vinyl Siding,952.0,,952.0,135750
House 179,8635.0,Brookside,5.0,1948.0,Wood Siding,672.0,True,1285.0,127000
House 180,10778.0,Sawyer,4.0,1968.0,Hard Board,1768.0,False,1768.0,136500
House 181,,Old Town,5.0,1910.0,Wood Siding,440.0,True,1230.0,110000
House 182,13000.0,North Ames,6.0,1968.0,Vinyl Siding,896.0,True,2142.0,193500
House 183,4500.0,Mitchell,6.0,1998.0,Vinyl Siding,1237.0,True,1337.0,153500
House 184,10206.0,Somerset,8.0,2007.0,Vinyl Siding,1563.0,True,1563.0,245000
House 185,8892.0,North Ames,5.0,1960.0,Metal Siding,1065.0,True,1065.0,126500
House 186,8530.0,Gilbert,,1995.0,Hard Board,384.0,True,1474.0,168500
House 187,16059.0,Northridge,8.0,1991.0,Hard Board,1288.0,True,,260000
House 188,11911.0,Gilbert,6.0,2005.0,Vinyl Siding,684.0,True,1560.0,174000
House 189,3951.0,Somerset,6.0,2009.0,Vinyl Siding,612.0,True,1224.0,164500
House 190,8470.0,Iowa DOT and Rail Road,3.0,1915.0,Plywood,1013.0,False,1526.0,85000
House 191,8070.0,College Creek,4.0,1994.0,Vinyl Siding,,True,990.0,123600
House 192,7200.0,North Ames,4.0,1950.0,Brick Face,0.0,True,1040.0,109900
House 193,8500.0,North Ames,5.0,1961.0,Hard Board,1235.0,True,1235.0,98600
House 194,13360.0,Crawford,5.0,1921.0,Wood Siding,876.0,True,964.0,163500
House 195,,,6.0,1910.0,Metal Siding,1214.0,False,2291.0,133900
House 196,9337.0,College Creek,6.0,1997.0,Vinyl Siding,824.0,True,1786.0,204750
House 197,9765.0,Gilbert,6.0,1993.0,Vinyl Siding,680.0,True,1470.0,185000
House 198,10264.0,College Creek,7.0,1999.0,Vinyl Siding,1588.0,True,,214000
House 199,10921.0,,,1965.0,Hard Board,960.0,True,960.0,94750
House 200,10625.0,,5.0,1920.0,Wood Siding,458.0,False,835.0,83000
House 201,9320.0,North Ames,4.0,1959.0,Plywood,950.0,True,1225.0,128950
House 202,10603.0,Northwest Ames,6.0,1977.0,Plywood,1610.0,True,1610.0,205000
House 203,9206.0,Sawyer West,6.0,1985.0,,741.0,True,1732.0,178000
House 204,7018.0,Sawyer West,5.0,1979.0,Hard Board,0.0,True,1535.0,118964
House 205,10402.0,,7.0,2009.0,Vinyl Siding,1226.0,True,1226.0,198900
House 206,7758.0,Iowa DOT and Rail Road,7.0,1931.0,,1040.0,True,1818.0,169500
House 207,9375.0,Somerset,8.0,2003.0,Vinyl Siding,1053.0,True,1992.0,250000
House 208,10800.0,Old Town,4.0,1885.0,Vinyl Siding,641.0,True,1047.0,100000
House 209,6000.0,Old Town,5.0,1948.0,Vinyl Siding,789.0,True,789.0,115000
House 210,8500.0,Iowa DOT and Rail Road,5.0,1919.0,Cement Board,793.0,,1517.0,115000
House 211,11751.0,Northwest Ames,6.0,1977.0,Plywood,1844.0,True,1844.0,190000
House 212,9525.0,Edwards,6.0,1954.0,Wood Siding,,True,1855.0,136900
House 213,7750.0,Gilbert,7.0,2000.0,Vinyl Siding,384.0,True,1430.0,180000
House 214,9965.0,College Creek,7.0,2007.0,Vinyl Siding,1264.0,True,2696.0,383970
House 215,21000.0,Crawford,6.0,1953.0,Wood Siding,1809.0,True,2259.0,217000
House 216,7259.0,Crawford,6.0,1945.0,Wood Siding,1028.0,True,2320.0,259500
House 217,3230.0,Somerset,6.0,1999.0,Metal Siding,729.0,True,1458.0,176000
House 218,11616.0,Sawyer,5.0,1962.0,Wood Siding,1092.0,True,1092.0,139000
House 219,8536.0,Edwards,5.0,2006.0,Vinyl Siding,1125.0,True,,155000
House 220,12376.0,Sawyer West,7.0,1990.0,Plywood,1673.0,True,3222.0,320000
House 221,8461.0,College Creek,6.0,2005.0,Vinyl Siding,728.0,True,1456.0,163990
House 222,21453.0,Clear Creek,6.0,1969.0,Plywood,,True,988.0,180000
House 223,6060.0,Iowa DOT and Rail Road,4.0,1939.0,Asbestos Shingles,732.0,True,1123.0,100000
House 224,9464.0,North Ames,6.0,1958.0,Metal Siding,1080.0,True,1080.0,136000
House 225,7892.0,Sawyer West,6.0,1993.0,Plywood,1199.0,True,1199.0,153900
House 226,17043.0,Northwest Ames,6.0,1979.0,Hard Board,1362.0,True,1586.0,181000
House 227,6780.0,Iowa DOT and Rail Road,6.0,1935.0,Wood Siding,520.0,False,,84500
House 228,4928.0,Northpark Villa,6.0,1976.0,Plywood,1078.0,,958.0,128000
House 229,4388.0,Old Town,5.0,1930.0,Wood Shingles,672.0,True,840.0,87000
House 230,7590.0,North Ames,6.0,1966.0,Vinyl Siding,660.0,True,1348.0,155000
House 231,8973.0,North Ames,5.0,1958.0,Plywood,1008.0,True,1053.0,150000
House 232,14200.0,North Ames,7.0,1966.0,Metal Siding,924.0,True,2157.0,226000
House 233,12224.0,Gilbert,6.0,2000.0,Vinyl Siding,992.0,True,,244000
House 234,7388.0,North Ames,5.0,1959.0,Metal Siding,1063.0,True,1327.0,150750
House 235,6853.0,Timberland,8.0,2001.0,Vinyl Siding,1267.0,True,1296.0,220000
House 236,10335.0,Sawyer,,1968.0,Plywood,1461.0,True,,180000
House 237,10400.0,Northwest Ames,7.0,1970.0,Plywood,1304.0,True,1682.0,174000
House 238,10355.0,North Ames,5.0,1967.0,Metal Siding,1214.0,True,1214.0,143000
House 239,11070.0,Mitchell,7.0,1988.0,Vinyl Siding,1907.0,True,1959.0,171000
House 240,9066.0,College Creek,8.0,1999.0,Vinyl Siding,1004.0,True,1852.0,230000
House 241,15426.0,College Creek,6.0,1997.0,Vinyl Siding,928.0,True,1764.0,231500
House 242,10500.0,North Ames,,,Hard Board,864.0,True,864.0,115000
House 243,11645.0,College Creek,7.0,2005.0,Vinyl Siding,1734.0,True,1734.0,260000
House 244,8520.0,North Ames,5.0,1952.0,Brick Face,910.0,True,1385.0,166000
House 245,10335.0,College Creek,7.0,1999.0,Vinyl Siding,1490.0,True,1501.0,204000
House 246,9100.0,Sawyer,5.0,1963.0,Hard Board,1728.0,True,1728.0,125000
House 247,2522.0,Edwards,6.0,2004.0,Vinyl Siding,970.0,True,1709.0,130000
House 248,6120.0,Brookside,5.0,1931.0,Wood Siding,715.0,True,875.0,105000
House 249,9505.0,Gilbert,7.0,2001.0,Vinyl Siding,884.0,True,2035.0,222500
House 250,7500.0,Sawyer West,7.0,2004.0,Vinyl Siding,1080.0,True,1080.0,141000
House 251,6240.0,Brookside,5.0,,Metal Siding,896.0,,1344.0,115000
House 252,10356.0,College Creek,,1975.0,Hard Board,969.0,True,969.0,122000
House 253,13891.0,Northridge Heights,8.0,2007.0,Vinyl Siding,1710.0,True,1710.0,372402
House 254,14803.0,Northwest Ames,6.0,1971.0,Hard Board,825.0,True,1993.0,190000
House 255,13500.0,Clear Creek,6.0,1960.0,Brick Face,1602.0,True,1252.0,235000
House 256,11340.0,Old Town,6.0,1923.0,Wood Siding,1200.0,True,1200.0,125000
House 257,9600.0,Edwards,6.0,1924.0,Wood Siding,572.0,False,1096.0,79000
House 258,7200.0,North Ames,5.0,1950.0,Wood Siding,0.0,True,1040.0,109500
House 259,12003.0,Timberland,8.0,2009.0,Vinyl Siding,774.0,True,1968.0,269500
House 260,12552.0,Somerset,7.0,2004.0,Vinyl Siding,991.0,True,1947.0,254900
House 261,19378.0,Gilbert,7.0,2005.0,Vinyl Siding,1392.0,True,2462.0,320000
House 262,11120.0,Veenker,,1984.0,Plywood,1232.0,True,1232.0,162500
House 263,13688.0,Northridge Heights,9.0,2003.0,Vinyl Siding,1572.0,True,2668.0,412500
House 264,12182.0,Northridge Heights,7.0,2005.0,Vinyl Siding,1541.0,True,1541.0,220000
House 265,5500.0,Old Town,,1956.0,Metal Siding,882.0,True,882.0,103200
House 266,5400.0,Old Town,6.0,1926.0,,1149.0,True,1616.0,152000
House 267,10106.0,Edwards,5.0,1940.0,Wood Siding,644.0,True,1355.0,127500
House 268,10708.0,Clear Creek,5.0,1955.0,Wood Siding,1617.0,True,1867.0,190000
House 269,10562.0,Northridge Heights,8.0,2007.0,Vinyl Siding,1582.0,True,2161.0,325624
House 270,8244.0,Gilbert,7.0,2004.0,Vinyl Siding,840.0,True,1720.0,183500
House 271,16669.0,,8.0,1981.0,Plywood,1686.0,True,1707.0,228000
House 272,12358.0,Old Town,5.0,1941.0,Metal Siding,720.0,True,,128500
House 273,31770.0,North Ames,6.0,1960.0,Brick Face,1080.0,True,1656.0,215000
House 274,5306.0,Stone Brook,7.0,1987.0,Hard Board,1064.0,True,1767.0,239000
House 275,10197.0,North Ames,,1961.0,Wood Shingles,1362.0,True,1362.0,163000
House 276,12416.0,Timberland,6.0,1986.0,Vinyl Siding,1606.0,True,1651.0,184000
House 277,12615.0,Edwards,6.0,1950.0,Wood Shingles,1202.0,True,2158.0,243000
House 278,10029.0,Clear Creek,6.0,1988.0,Plywood,1151.0,True,2060.0,211000
House 279,13650.0,Sawyer,5.0,1958.0,Metal Siding,,True,1920.0,172500
House 280,17423.0,Stone Brook,9.0,2008.0,Vinyl Siding,2216.0,True,2234.0,501837
House 281,8520.0,Old Town,,1923.0,Wood Siding,968.0,True,,100000
House 282,2117.0,Somerset,6.0,2000.0,Metal Siding,756.0,True,1525.0,177000
House 283,7588.0,Crawford,7.0,1920.0,Stucco,793.0,,1802.0,200100
House 284,9060.0,Edwards,5.0,1957.0,Wood Siding,0.0,True,1340.0,120000
House 285,11426.0,Old Town,7.0,2003.0,Vinyl Siding,1362.0,True,2082.0,200000
House 286,7438.0,Brookside,5.0,,Asbestos Shingles,504.0,True,1252.0,127000
House 287,22950.0,Old Town,,1892.0,Wood Siding,1107.0,True,3608.0,475000
House 288,9947.0,Mitchell,7.0,1990.0,Hard Board,1188.0,True,1217.0,173000
House 289,10410.0,Old Town,5.0,1916.0,Hard Board,660.0,True,1656.0,135000
House 290,7018.0,Sawyer West,5.0,1979.0,Plywood,1086.0,True,1224.0,153337
House 291,4923.0,Stone Brook,8.0,2001.0,Cement Board,1593.0,True,,286000
House 292,10570.0,Crawford,8.0,1932.0,,853.0,True,2727.0,315000
House 293,7472.0,North Ames,7.0,1972.0,Hard Board,725.0,True,1479.0,184000
House 294,,College Creek,7.0,1999.0,Vinyl Siding,1431.0,True,1431.0,192000
House 295,2522.0,Edwards,7.0,2004.0,Vinyl Siding,970.0,True,1709.0,130000
House 296,7180.0,College Creek,5.0,1972.0,Hard Board,864.0,True,864.0,127000
House 297,2280.0,Northpark Villa,,1976.0,Plywood,855.0,True,1456.0,148500
House 298,9416.0,Somerset,7.0,2007.0,Cement Board,1726.0,True,,311872
House 299,25419.0,,8.0,,Stucco,1360.0,True,3112.0,235000
House 300,5520.0,Old Town,6.0,1912.0,Wood Siding,755.0,True,2229.0,104000
House 301,9591.0,Northridge Heights,8.0,2004.0,Vinyl Siding,1713.0,True,1713.0,274900
House 302,8546.0,Edwards,4.0,2003.0,Vinyl Siding,1121.0,True,1121.0,140000
House 303,10125.0,Mitchell,6.0,1977.0,Plywood,1196.0,True,1279.0,171500
House 304,7000.0,Old Town,6.0,1924.0,Metal Siding,617.0,True,1310.0,112000
House 305,4438.0,College Creek,6.0,2004.0,Vinyl Siding,848.0,True,848.0,149000
House 306,3500.0,Old Town,5.0,1947.0,Asbestos Shingles,720.0,True,1284.0,110000
House 307,11851.0,Gilbert,7.0,1990.0,Hard Board,1424.0,True,1442.0,180500
House 308,13673.0,Sawyer,5.0,1962.0,Hard Board,1140.0,True,1696.0,143900
House 309,12493.0,North Ames,4.0,1960.0,Wood Siding,1100.0,True,1100.0,141000
House 310,14364.0,Sawyer West,7.0,1988.0,Plywood,1157.0,True,,277000
House 311,8250.0,North Ames,6.0,1964.0,Hard Board,1092.0,True,1092.0,145000
House 312,5604.0,Edwards,5.0,1925.0,Stucco,864.0,False,,98000
House 313,10420.0,Edwards,6.0,2009.0,Vinyl Siding,1212.0,True,1212.0,186000
House 314,,Somerset,7.0,2009.0,Vinyl Siding,900.0,,,252678
House 315,13568.0,College Creek,5.0,1995.0,Vinyl Siding,990.0,True,990.0,156000
House 316,10900.0,College Creek,6.0,1977.0,Hard Board,689.0,True,1392.0,161750
House 317,10011.0,North Ames,5.0,1957.0,Hard Board,1070.0,True,1236.0,134450
House 318,8450.0,College Creek,7.0,2004.0,Vinyl Siding,1436.0,True,1436.0,210000
House 319,9906.0,Old Town,4.0,1925.0,Metal Siding,686.0,False,1328.0,107000
House 320,15660.0,Crawford,7.0,1939.0,Vinyl Siding,798.0,True,1954.0,311500
House 321,3010.0,Bloomington Heights,7.0,2005.0,Vinyl Siding,1248.0,True,1248.0,167240
House 322,8990.0,College Creek,7.0,2006.0,Vinyl Siding,1498.0,True,,204900
House 323,8068.0,Gilbert,6.0,2002.0,Vinyl Siding,1010.0,True,2267.0,200000
House 324,11475.0,Northwest Ames,6.0,1975.0,Vinyl Siding,713.0,True,1552.0,179900
House 325,10500.0,North Ames,4.0,1971.0,,864.0,True,864.0,97000
House 326,13472.0,Northridge Heights,10.0,2003.0,Vinyl Siding,2392.0,True,2392.0,386250
House 327,1680.0,Briardale,5.0,1971.0,Hard Board,630.0,True,1302.0,112000
House 328,9950.0,Northridge,7.0,1995.0,Vinyl Siding,,True,2520.0,290000
House 329,1869.0,Briardale,6.0,1970.0,Hard Board,483.0,True,987.0,106000
House 330,8521.0,Sawyer,5.0,1967.0,Hard Board,912.0,True,912.0,125000
House 331,3182.0,Bloomington Heights,,2005.0,Vinyl Siding,1373.0,True,1555.0,192500
House 332,8760.0,North Ames,6.0,1959.0,Metal Siding,1194.0,True,1194.0,148000
House 333,15138.0,Northridge,8.0,1995.0,Vinyl Siding,1462.0,True,2794.0,403000
House 334,1680.0,Briardale,6.0,,Hard Board,483.0,True,987.0,94500
House 335,10650.0,College Creek,,1976.0,Hard Board,894.0,True,894.0,128200
House 336,7851.0,Gilbert,6.0,2002.0,Vinyl Siding,860.0,True,1960.0,216500
House 337,1680.0,Briardale,6.0,1971.0,Hard Board,483.0,True,987.0,89500
House 338,8773.0,College Creek,7.0,2004.0,Vinyl Siding,1414.0,True,1414.0,185500
House 339,9453.0,Sawyer West,7.0,1993.0,Hard Board,996.0,True,1744.0,194500
House 340,12030.0,Northridge Heights,8.0,2007.0,Vinyl Siding,1694.0,True,1694.0,318000
House 341,8741.0,Edwards,6.0,1945.0,Vinyl Siding,735.0,True,1487.0,113000
House 342,9000.0,Somerset,8.0,2008.0,Vinyl Siding,1566.0,True,1566.0,262500
House 343,3880.0,Old Town,5.0,1945.0,Vinyl Siding,686.0,,866.0,110500
House 344,5000.0,Old Town,5.0,1900.0,Wood Siding,540.0,False,1440.0,79000
House 345,10762.0,Sawyer West,6.0,,Plywood,626.0,True,1217.0,120000
House 346,8880.0,Sawyer West,7.0,1994.0,Vinyl Siding,948.0,True,2110.0,205000
House 347,10400.0,Northwest Ames,7.0,1988.0,Wood Siding,1845.0,True,1872.0,241500
House 348,9142.0,Old Town,,1910.0,Asbestos Shingles,1020.0,False,1928.0,137000
House 349,11310.0,North Ames,6.0,1954.0,Wood Siding,1367.0,True,1375.0,140000
House 350,11317.0,College Creek,7.0,2003.0,Vinyl Siding,840.0,True,1668.0,180000
House 351,159000.0,Clear Creek,6.0,1958.0,Wood Siding,1444.0,True,,277000
House 352,5350.0,Brookside,3.0,1940.0,Wood Siding,728.0,True,1306.0,76500
House 353,4750.0,Crawford,8.0,2006.0,Vinyl Siding,1573.0,True,1625.0,235000
House 354,8366.0,Sawyer West,6.0,2004.0,Vinyl Siding,798.0,True,1640.0,173000
House 355,9350.0,North Ames,6.0,1964.0,Hard Board,,True,1302.0,158000
House 356,8400.0,North Ames,5.0,1957.0,Metal Siding,1314.0,True,1314.0,145000
House 357,8738.0,Gilbert,7.0,1999.0,Vinyl Siding,975.0,True,2291.0,230000
House 358,8791.0,Somerset,6.0,2003.0,Vinyl Siding,864.0,True,1728.0,207500
House 359,8814.0,College Creek,7.0,,Vinyl Siding,1604.0,True,1604.0,220000
House 360,12435.0,College Creek,7.0,2001.0,Vinyl Siding,963.0,True,1792.0,231500
House 361,12702.0,Old Town,5.0,1956.0,Brick Face,0.0,True,882.0,97000
House 362,19296.0,North Ames,6.0,1962.0,Wood Siding,1362.0,True,1382.0,176000
House 363,9588.0,College Creek,8.0,2007.0,Cement Board,1482.0,True,2574.0,276000
House 364,8471.0,Sawyer,6.0,1977.0,Hard Board,506.0,True,1212.0,151000
House 365,5500.0,Old Town,5.0,1929.0,Wood Siding,926.0,True,1316.0,130000
House 366,5232.0,Old Town,5.0,1925.0,Wood Siding,680.0,False,764.0,73000
House 367,,Northwest Ames,6.0,1981.0,Metal Siding,1422.0,True,,175500
House 368,,Gilbert,6.0,1997.0,Vinyl Siding,802.0,True,1511.0,185000
House 369,8400.0,South & West of Iowa State University,5.0,1939.0,Wood Siding,720.0,True,2192.0,179500
House 370,6900.0,Iowa DOT and Rail Road,5.0,1940.0,Vinyl Siding,740.0,True,,120500
House 371,7917.0,Edwards,6.0,1976.0,,1143.0,True,1113.0,148000
House 372,10728.0,Somerset,8.0,2006.0,Vinyl Siding,1095.0,True,,266000
House 373,39104.0,Clear Creek,7.0,1954.0,Plywood,1385.0,True,1363.0,241500
House 374,11764.0,Northridge,8.0,1999.0,Vinyl Siding,1152.0,True,2270.0,290000
House 375,9600.0,North Ames,6.0,1958.0,Wood Siding,1240.0,True,1632.0,139000
House 376,8314.0,Mitchell,5.0,1982.0,Hard Board,816.0,True,816.0,124500
House 377,7264.0,Brookside,7.0,,Wood Siding,,False,1548.0,205000
House 378,9196.0,Mitchell,7.0,2003.0,Vinyl Siding,1560.0,True,1560.0,201000
House 379,19138.0,Gilbert,4.0,1951.0,Vinyl Siding,864.0,True,864.0,141000
House 380,14450.0,Northridge Heights,9.0,2006.0,Cement Board,2121.0,True,2121.0,415298
House 381,,Clear Creek,7.0,1977.0,Plywood,1160.0,True,2022.0,192000
House 382,11287.0,Sawyer West,7.0,1989.0,Plywood,807.0,True,1982.0,228500
House 383,,Somerset,6.0,,Vinyl Siding,1262.0,True,1262.0,185000
House 384,5063.0,Northridge Heights,7.0,2007.0,Vinyl Siding,1314.0,True,1314.0,207500
House 385,9612.0,Somerset,8.0,2008.0,Vinyl Siding,1468.0,True,1468.0,244600
House 386,8012.0,Sawyer West,6.0,1992.0,Plywood,1575.0,True,1575.0,179200
House 387,4251.0,Somerset,7.0,2006.0,Metal Siding,625.0,,1250.0,164700
House 388,9786.0,North Ames,6.0,1962.0,Wood Siding,912.0,True,1734.0,159000
House 389,8125.0,North Ames,4.0,1971.0,Hard Board,858.0,True,858.0,88000
House 390,9819.0,Sawyer,5.0,1967.0,Metal Siding,882.0,True,900.0,122000
House 391,8730.0,Brookside,6.0,1915.0,Wood Siding,698.0,True,1396.0,153575
House 392,15611.0,College Creek,8.0,2006.0,Vinyl Siding,1079.0,True,1919.0,233230
House 393,5687.0,South & West of Iowa State University,5.0,1912.0,Vinyl Siding,780.0,False,1716.0,135900
House 394,11409.0,Edwards,5.0,1949.0,Wood Siding,768.0,True,1716.0,131000
House 395,16659.0,Northwest Ames,7.0,1977.0,Plywood,795.0,True,2263.0,235000
House 396,9600.0,North Ames,6.0,1953.0,Hard Board,1416.0,True,1644.0,167000
House 397,7937.0,Mitchell,,,Hard Board,1003.0,True,1003.0,142500
House 398,13710.0,Iowa DOT and Rail Road,5.0,1950.0,Wood Siding,910.0,True,1558.0,152000
House 399,7399.0,Somerset,7.0,1997.0,Vinyl Siding,975.0,True,1950.0,239000
House 400,11700.0,Northwest Ames,6.0,,Hard Board,702.0,True,1743.0,175000
House 401,14000.0,Crawford,6.0,1950.0,Hard Board,1092.0,True,1152.0,158500
House 402,15750.0,Crawford,5.0,1953.0,Metal Siding,1165.0,True,1336.0,157000
House 403,16226.0,College Creek,,1998.0,Vinyl Siding,1028.0,True,2452.0,267000
House 404,13704.0,College Creek,7.0,2001.0,Vinyl Siding,1541.0,True,1541.0,205000
House 405,9800.0,College Creek,5.0,1972.0,Vinyl Siding,894.0,True,894.0,149900
House 406,18386.0,Old Town,,1880.0,Cement Board,1470.0,True,3493.0,295000
House 407,10386.0,College Creek,8.0,,Cement Board,2000.0,True,2000.0,305900
House 408,13474.0,Sawyer West,7.0,1990.0,Hard Board,700.0,True,2243.0,225000
House 409,7920.0,Iowa DOT and Rail Road,6.0,1920.0,Metal Siding,319.0,True,1406.0,89500
House 410,12342.0,Edwards,4.0,1940.0,Vinyl Siding,,True,861.0,82500
House 411,12378.0,Northridge Heights,9.0,2003.0,Vinyl Siding,1896.0,,1944.0,360000
House 412,7685.0,Gilbert,6.0,1993.0,Hard Board,697.0,True,1501.0,165600
House 413,8000.0,North Ames,6.0,1948.0,Vinyl Siding,,True,972.0,132000
House 414,7800.0,Old Town,5.0,1939.0,Metal Siding,793.0,True,1118.0,119900
House 415,215245.0,Timberland,7.0,1965.0,Brick Face,2136.0,True,2036.0,375000
House 416,9600.0,Old Town,7.0,,Wood Siding,728.0,True,1641.0,178000
House 417,7795.0,Gilbert,7.0,2004.0,Vinyl Siding,716.0,True,1432.0,188500
House 418,13005.0,Northwest Ames,,1980.0,Cement Board,845.0,True,2353.0,260000
House 419,9000.0,Somerset,,2006.0,Vinyl Siding,1088.0,True,1959.0,270000
House 420,9900.0,Northridge,7.0,1993.0,Hard Board,,True,,260000
House 421,14115.0,Northwest Ames,7.0,1980.0,Plywood,1372.0,True,1472.0,187500
