,mean,std
Exterior2nd_CmentBd,0.042748091603053436,0.20229
Exterior2nd_HdBoard,0.1435114503816794,0.35059
Exterior2nd_ImStucc,0.0061068702290076335,0.07791
Exterior2nd_MetalSd,0.13816793893129772,0.34508
Exterior2nd_Other,0.0007633587786259542,0.02762
Exterior2nd_Plywood,0.0984732824427481,0.29795
Exterior2nd_Stone,0.003816793893129771,0.06166
Exterior2nd_Stucco,0.017557251908396947,0.13134
Exterior2nd_VinylSd,0.34427480916030534,0.47513
Exterior2nd_Wd Sdng,0.13816793893129772,0.34508
Exterior2nd_Wd Shng,0.025954198473282442,0.159
MasVnrType_BrkCmn,0.009923664122137405,0.09912
MasVnrType_BrkFace,0.29465648854961835,0.45589
MasVnrType_None,0.6053435114503817,0.48878
MasVnrType_Stone,0.0900763358778626,0.28629
Foundation_BrkTil,0.10458015267175573,0.30601
Foundation_CBlock,0.43206106870229005,0.49536
Foundation_PConc,0.4396946564885496,0.49635
Foundation_Slab,0.0183206106870229,0.13411
Foundation_Stone,0.004580152671755725,0.06752
Foundation_Wood,0.0007633587786259542,0.02762
BsmtCond_0,0.02748091603053435,0.16348
BsmtCond_1,0.0015267175572519084,0.03904
BsmtCond_2,0.031297709923664124,0.17412
BsmtCond_3,0.8969465648854962,0.30403
BsmtCond_4,0.042748091603053436,0.20229
Heating_Floor,0.0007633587786259542,0.02762
Heating_GasA,0.9755725190839695,0.15437
Heating_GasW,0.013740458015267175,0.11641
Heating_Grav,0.0053435114503816794,0.0729
Heating_OthW,0.0015267175572519084,0.03904
Heating_Wall,0.0030534351145038168,0.05517
CentralAir_N,0.06946564885496183,0.25424
CentralAir_Y,0.9305343511450381,0.25424
Electrical_FuseA,0.06870229007633588,0.25295
Electrical_FuseF,0.0183206106870229,0.13411
Electrical_FuseP,0.0022900763358778627,0.0478
Electrical_Mix,0.0007633587786259542,0.02762
Electrical_SBrkr,0.9091603053435114,0.28738
GarageType_2Types,0.004580152671755725,0.06752
GarageType_Attchd,0.5900763358778626,0.49182
GarageType_Basment,0.011450381679389313,0.10639
GarageType_BuiltIn,0.061068702290076333,0.23946
GarageType_CarPort,0.0061068702290076335,0.07791
GarageType_Detchd,0.2687022900763359,0.44328
GarageType_No,0.05801526717557252,0.23377
GarageFinish_Fin,0.23511450381679388,0.42407
GarageFinish_No,0.05801526717557252,0.23377
GarageFinish_RFn,0.2900763358778626,0.4538
GarageFinish_Unf,0.416793893129771,0.49303
Fence_GdPrv,0.04122137404580153,0.1988
Fence_GdWo,0.03816793893129771,0.1916
Fence_MnPrv,0.10305343511450382,0.30403
Fence_MnWw,0.007633587786259542,0.08704
Fence_No,0.8099236641221375,0.39236
MiscFeature_Gar2,0.0015267175572519084,0.03904
MiscFeature_No,0.9625954198473282,0.18975
MiscFeature_Othr,0.0015267175572519084,0.03904
MiscFeature_Shed,0.03435114503816794,0.18213
MiscFeature_TenC,0.0,1.0
MoSold_Apr,0.09694656488549619,0.29588
MoSold_Aug,0.08091603053435115,0.27271
MoSold_Dec,0.04198473282442748,0.20055
MoSold_Feb,0.03587786259541985,0.18599
MoSold_Jan,0.03816793893129771,0.1916
MoSold_Jul,0.15801526717557252,0.36476
MoSold_Jun,0.17404580152671756,0.37915
MoSold_Mar,0.07251908396946564,0.25935
MoSold_May,0.1435114503816794,0.35059
MoSold_Nov,0.0549618320610687,0.22791
MoSold_Oct,0.05877862595419847,0.23521
MoSold_Sep,0.044274809160305344,0.20571
SaleType_COD,0.026717557251908396,0.16126
SaleType_CWD,0.0015267175572519084,0.03904
SaleType_Con,0.0015267175572519084,0.03904
SaleType_ConLD,0.006870229007633588,0.0826
SaleType_ConLI,0.003816793893129771,0.06166
SaleType_ConLw,0.003816793893129771,0.06166
SaleType_New,0.08396946564885496,0.27734
SaleType_Oth,0.0022900763358778627,0.0478
SaleType_WD,0.8694656488549618,0.33689
SaleCondition_Abnorml,0.06946564885496183,0.25424
SaleCondition_AdjLand,0.0030534351145038168,0.05517
SaleCondition_Alloca,0.008396946564885497,0.09125
SaleCondition_Family,0.012977099236641221,0.11318
SaleCondition_Normal,0.8206106870229007,0.38368
SaleCondition_Partial,0.08549618320610687,0.27962
