ID,LotArea,Neighborhood,OverallQual,YearBuilt,Exterior1st,TotalBsmtSF,CentralAir,GrLivArea,SalePrice
House 208,10800,Old Town,4,1885,Vinyl Siding,641,Y,1047,100000
House 209,6000,Old Town,5,1948,Vinyl Siding,789,Y,789,115000
House 210,8500,Iowa DOT and Rail Road,5,1919,Cement Board,793,N,1517,115000
House 211,11751,Northwest Ames,6,1977,Plywood,1844,Y,1844,190000
House 212,9525,Edwards,6,1954,Wood Siding,994,Y,1855,136900
House 213,7750,Gilbert,7,2000,Vinyl Siding,384,Y,1430,180000
House 214,9965,College Creek,7,2007,Vinyl Siding,1264,Y,2696,383970
House 215,21000,Crawford,6,1953,Wood Siding,1809,Y,2259,217000
House 216,7259,Crawford,6,1945,Wood Siding,1028,Y,2320,259500
House 217,3230,Somerset,6,1999,Metal Siding,729,Y,1458,176000
House 218,11616,Sawyer,5,1962,Wood Siding,1092,Y,1092,139000
House 219,8536,Edwards,5,2006,Vinyl Siding,1125,Y,1125,155000
House 220,12376,Sawyer West,7,1990,Plywood,1673,Y,3222,320000
House 221,8461,College Creek,6,2005,Vinyl Siding,728,Y,1456,163990
House 222,21453,Clear Creek,6,1969,Plywood,938,Y,988,180000
House 223,6060,Iowa DOT and Rail Road,4,1939,Asbestos Shingles,732,Y,1123,100000
House 224,9464,North Ames,6,1958,Metal Siding,1080,Y,1080,136000
House 225,7892,Sawyer West,6,1993,Plywood,1199,Y,1199,153900
House 226,17043,Northwest Ames,6,1979,Hard Board,1362,Y,1586,181000
House 227,6780,Iowa DOT and Rail Road,6,1935,Wood Siding,520,N,754,84500
House 228,4928,Northpark Villa,6,1976,Plywood,1078,Y,958,128000
House 229,4388,Old Town,5,1930,Wood Shingles,672,Y,840,87000
House 230,7590,North Ames,6,1966,Vinyl Siding,660,Y,1348,155000
House 231,8973,North Ames,5,1958,Plywood,1008,Y,1053,150000
House 232,14200,North Ames,7,1966,Metal Siding,924,Y,2157,226000
House 233,12224,Gilbert,6,2000,Vinyl Siding,992,Y,2054,244000
House 234,7388,North Ames,5,1959,Metal Siding,1063,Y,1327,150750
House 235,6853,Timberland,8,2001,Vinyl Siding,1267,Y,1296,220000
House 236,10335,Sawyer,5,1968,Plywood,1461,Y,1721,180000
House 237,10400,Northwest Ames,7,1970,Plywood,1304,Y,1682,174000
House 238,10355,North Ames,5,1967,Metal Siding,1214,Y,1214,143000
House 239,11070,Mitchell,7,1988,Vinyl Siding,1907,Y,1959,171000
House 240,9066,College Creek,8,1999,Vinyl Siding,1004,Y,1852,230000
House 241,15426,College Creek,6,1997,Vinyl Siding,928,Y,1764,231500
House 242,10500,North Ames,4,1971,Hard Board,864,Y,864,115000
House 243,11645,College Creek,7,2005,Vinyl Siding,1734,Y,1734,260000
House 244,8520,North Ames,5,1952,Brick Face,910,Y,1385,166000
House 245,10335,College Creek,7,1999,Vinyl Siding,1490,Y,1501,204000
House 246,9100,Sawyer,5,1963,Hard Board,1728,Y,1728,125000
House 247,2522,Edwards,6,2004,Vinyl Siding,970,Y,1709,130000
House 248,6120,Brookside,5,1931,Wood Siding,715,Y,875,105000
House 249,9505,Gilbert,7,2001,Vinyl Siding,884,Y,2035,222500
House 250,7500,Sawyer West,7,2004,Vinyl Siding,1080,Y,1080,141000
House 251,6240,Brookside,5,1936,Metal Siding,896,Y,1344,115000
House 252,10356,College Creek,5,1975,Hard Board,969,Y,969,122000
House 253,13891,Northridge Heights,8,2007,Vinyl Siding,1710,Y,1710,372402
House 254,14803,Northwest Ames,6,1971,Hard Board,825,Y,1993,190000
House 255,13500,Clear Creek,6,1960,Brick Face,1602,Y,1252,235000
House 256,11340,Old Town,6,1923,Wood Siding,1200,Y,1200,125000
House 257,9600,Edwards,6,1924,Wood Siding,572,N,1096,79000
House 258,7200,North Ames,5,1950,Wood Siding,0,Y,1040,109500
House 259,12003,Timberland,8,2009,Vinyl Siding,774,Y,1968,269500
House 260,12552,Somerset,7,2004,Vinyl Siding,991,Y,1947,254900
House 261,19378,Gilbert,7,2005,Vinyl Siding,1392,Y,2462,320000
House 262,11120,Veenker,6,1984,Plywood,1232,Y,1232,162500
House 263,13688,Northridge Heights,9,2003,Vinyl Siding,1572,Y,2668,412500
House 264,12182,Northridge Heights,7,2005,Vinyl Siding,1541,Y,1541,220000
House 265,5500,Old Town,4,1956,Metal Siding,882,Y,882,103200
House 266,5400,Old Town,6,1926,Metal Siding,1149,Y,1616,152000
House 267,10106,Edwards,5,1940,Wood Siding,644,Y,1355,127500
House 268,10708,Clear Creek,5,1955,Wood Siding,1617,Y,1867,190000
House 269,10562,Northridge Heights,8,2007,Vinyl Siding,1582,Y,2161,325624
House 270,8244,Gilbert,7,2004,Vinyl Siding,840,Y,1720,183500
House 271,16669,Timberland,8,1981,Plywood,1686,Y,1707,228000
House 272,12358,Old Town,5,1941,Metal Siding,720,Y,1382,128500
House 273,31770,North Ames,6,1960,Brick Face,1080,Y,1656,215000
House 274,5306,Stone Brook,7,1987,Hard Board,1064,Y,1767,239000
House 275,10197,North Ames,6,1961,Wood Shingles,1362,Y,1362,163000
House 276,12416,Timberland,6,1986,Vinyl Siding,1606,Y,1651,184000
House 277,12615,Edwards,6,1950,Wood Shingles,1202,Y,2158,243000
House 278,10029,Clear Creek,6,1988,Plywood,1151,Y,2060,211000
House 279,13650,Sawyer,5,1958,Metal Siding,1052,Y,1920,172500
House 280,17423,Stone Brook,9,2008,Vinyl Siding,2216,Y,2234,501837
House 281,8520,Old Town,5,1923,Wood Siding,968,Y,968,100000
House 282,2117,Somerset,6,2000,Metal Siding,756,Y,1525,177000
House 283,7588,Crawford,7,1920,Stucco,793,Y,1802,200100
House 284,9060,Edwards,5,1957,Wood Siding,0,Y,1340,120000
House 285,11426,Old Town,7,2003,Vinyl Siding,1362,Y,2082,200000
House 286,7438,Brookside,5,1908,Asbestos Shingles,504,Y,1252,127000
House 287,22950,Old Town,10,1892,Wood Siding,1107,Y,3608,475000
House 288,9947,Mitchell,7,1990,Hard Board,1188,Y,1217,173000
House 289,10410,Old Town,5,1916,Hard Board,660,Y,1656,135000
House 290,7018,Sawyer West,5,1979,Plywood,1086,Y,1224,153337
House 291,4923,Stone Brook,8,2001,Cement Board,1593,Y,1593,286000
House 292,10570,Crawford,8,1932,Brick Face,853,Y,2727,315000
House 293,7472,North Ames,7,1972,Hard Board,725,Y,1479,184000
House 294,9017,College Creek,7,1999,Vinyl Siding,1431,Y,1431,192000
House 295,2522,Edwards,7,2004,Vinyl Siding,970,Y,1709,130000
House 296,7180,College Creek,5,1972,Hard Board,864,Y,864,127000
House 297,2280,Northpark Villa,6,1976,Plywood,855,Y,1456,148500
House 298,9416,Somerset,7,2007,Cement Board,1726,Y,1726,311872
House 299,25419,North Ames,8,1918,Stucco,1360,Y,3112,235000
House 300,5520,Old Town,6,1912,Wood Siding,755,Y,2229,104000
House 301,9591,Northridge Heights,8,2004,Vinyl Siding,1713,Y,1713,274900
House 302,8546,Edwards,4,2003,Vinyl Siding,1121,Y,1121,140000
House 303,10125,Mitchell,6,1977,Plywood,1196,Y,1279,171500
House 304,7000,Old Town,6,1924,Metal Siding,617,Y,1310,112000
House 305,4438,College Creek,6,2004,Vinyl Siding,848,Y,848,149000
House 306,3500,Old Town,5,1947,Asbestos Shingles,720,Y,1284,110000
House 307,11851,Gilbert,7,1990,Hard Board,1424,Y,1442,180500
House 308,13673,Sawyer,5,1962,Hard Board,1140,Y,1696,143900
House 309,12493,North Ames,4,1960,Wood Siding,1100,Y,1100,141000
House 310,14364,Sawyer West,7,1988,Plywood,1157,Y,2062,277000
House 311,8250,North Ames,6,1964,Hard Board,1092,Y,1092,145000
House 312,5604,Edwards,5,1925,Stucco,864,N,864,98000
House 313,10420,Edwards,6,2009,Vinyl Siding,1212,Y,1212,186000
House 314,8640,Somerset,7,2009,Vinyl Siding,900,Y,1852,252678
House 315,13568,College Creek,5,1995,Vinyl Siding,990,Y,990,156000
House 316,10900,College Creek,6,1977,Hard Board,689,Y,1392,161750
House 317,10011,North Ames,5,1957,Hard Board,1070,Y,1236,134450
House 318,8450,College Creek,7,2004,Vinyl Siding,1436,Y,1436,210000
House 319,9906,Old Town,4,1925,Metal Siding,686,N,1328,107000
House 320,15660,Crawford,7,1939,Vinyl Siding,798,Y,1954,311500
House 321,3010,Bloomington Heights,7,2005,Vinyl Siding,1248,Y,1248,167240
House 322,8990,College Creek,7,2006,Vinyl Siding,1498,Y,1498,204900
House 323,8068,Gilbert,6,2002,Vinyl Siding,1010,Y,2267,200000
House 324,11475,Northwest Ames,6,1975,Vinyl Siding,713,Y,1552,179900
House 325,10500,North Ames,4,1971,Hard Board,864,Y,864,97000
House 326,13472,Northridge Heights,10,2003,Vinyl Siding,2392,Y,2392,386250
House 327,1680,Briardale,5,1971,Hard Board,630,Y,1302,112000
House 328,9950,Northridge,7,1995,Vinyl Siding,1203,Y,2520,290000
House 329,1869,Briardale,6,1970,Hard Board,483,Y,987,106000
House 330,8521,Sawyer,5,1967,Hard Board,912,Y,912,125000
House 331,3182,Bloomington Heights,7,2005,Vinyl Siding,1373,Y,1555,192500
House 332,8760,North Ames,6,1959,Metal Siding,1194,Y,1194,148000
House 333,15138,Northridge,8,1995,Vinyl Siding,1462,Y,2794,403000
House 334,1680,Briardale,6,1972,Hard Board,483,Y,987,94500
House 335,10650,College Creek,5,1976,Hard Board,894,Y,894,128200
House 336,7851,Gilbert,6,2002,Vinyl Siding,860,Y,1960,216500
House 337,1680,Briardale,6,1971,Hard Board,483,Y,987,89500
House 338,8773,College Creek,7,2004,Vinyl Siding,1414,Y,1414,185500
House 339,9453,Sawyer West,7,1993,Hard Board,996,Y,1744,194500
House 340,12030,Northridge Heights,8,2007,Vinyl Siding,1694,Y,1694,318000
House 341,8741,Edwards,6,1945,Vinyl Siding,735,Y,1487,113000
House 342,9000,Somerset,8,2008,Vinyl Siding,1566,Y,1566,262500
House 343,3880,Old Town,5,1945,Vinyl Siding,686,Y,866,110500
House 344,5000,Old Town,5,1900,Wood Siding,540,N,1440,79000
House 345,10762,Sawyer West,6,1980,Plywood,626,Y,1217,120000
House 346,8880,Sawyer West,7,1994,Vinyl Siding,948,Y,2110,205000
House 347,10400,Northwest Ames,7,1988,Wood Siding,1845,Y,1872,241500
House 348,9142,Old Town,6,1910,Asbestos Shingles,1020,N,1928,137000
House 349,11310,North Ames,6,1954,Wood Siding,1367,Y,1375,140000
House 350,11317,College Creek,7,2003,Vinyl Siding,840,Y,1668,180000
House 351,159000,Clear Creek,6,1958,Wood Siding,1444,Y,2144,277000
House 352,5350,Brookside,3,1940,Wood Siding,728,Y,1306,76500
House 353,4750,Crawford,8,2006,Vinyl Siding,1573,Y,1625,235000
House 354,8366,Sawyer West,6,2004,Vinyl Siding,798,Y,1640,173000
House 355,9350,North Ames,6,1964,Hard Board,1302,Y,1302,158000
House 356,8400,North Ames,5,1957,Metal Siding,1314,Y,1314,145000
House 357,8738,Gilbert,7,1999,Vinyl Siding,975,Y,2291,230000
House 358,8791,Somerset,6,2003,Vinyl Siding,864,Y,1728,207500
House 359,8814,College Creek,7,2006,Vinyl Siding,1604,Y,1604,220000
House 360,12435,College Creek,7,2001,Vinyl Siding,963,Y,1792,231500
House 361,12702,Old Town,5,1956,Brick Face,0,Y,882,97000
House 362,19296,North Ames,6,1962,Wood Siding,1362,Y,1382,176000
House 363,9588,College Creek,8,2007,Cement Board,1482,Y,2574,276000
House 364,8471,Sawyer,6,1977,Hard Board,506,Y,1212,151000
House 365,5500,Old Town,5,1929,Wood Siding,926,Y,1316,130000
House 366,5232,Old Town,5,1925,Wood Siding,680,N,764,73000
House 367,12090,Northwest Ames,6,1981,Metal Siding,1422,Y,1422,175500
House 368,11207,Gilbert,6,1997,Vinyl Siding,802,Y,1511,185000
House 369,8400,South & West of Iowa State University,5,1939,Wood Siding,720,Y,2192,179500
House 370,6900,Iowa DOT and Rail Road,5,1940,Vinyl Siding,740,Y,778,120500
House 371,7917,Edwards,6,1976,Hard Board,1143,Y,1113,148000
House 372,10728,Somerset,8,2006,Vinyl Siding,1095,Y,1939,266000
House 373,39104,Clear Creek,7,1954,Plywood,1385,Y,1363,241500
House 374,11764,Northridge,8,1999,Vinyl Siding,1152,Y,2270,290000
House 375,9600,North Ames,6,1958,Wood Siding,1240,Y,1632,139000
House 376,8314,Mitchell,5,1982,Hard Board,816,Y,816,124500
House 377,7264,Brookside,7,1925,Wood Siding,952,N,1548,205000
House 378,9196,Mitchell,7,2003,Vinyl Siding,1560,Y,1560,201000
House 379,19138,Gilbert,4,1951,Vinyl Siding,864,Y,864,141000
House 380,14450,Northridge Heights,9,2006,Cement Board,2121,Y,2121,415298
House 381,10005,Clear Creek,7,1977,Plywood,1160,Y,2022,192000
House 382,11287,Sawyer West,7,1989,Plywood,807,Y,1982,228500
House 383,7200,Somerset,6,2006,Vinyl Siding,1262,Y,1262,185000
House 384,5063,Northridge Heights,7,2007,Vinyl Siding,1314,Y,1314,207500
House 385,9612,Somerset,8,2008,Vinyl Siding,1468,Y,1468,244600
House 386,8012,Sawyer West,6,1992,Plywood,1575,Y,1575,179200
House 387,4251,Somerset,7,2006,Metal Siding,625,Y,1250,164700
House 388,9786,North Ames,6,1962,Wood Siding,912,Y,1734,159000
House 389,8125,North Ames,4,1971,Hard Board,858,Y,858,88000
House 390,9819,Sawyer,5,1967,Metal Siding,882,Y,900,122000
House 391,8730,Brookside,6,1915,Wood Siding,698,Y,1396,153575
House 392,15611,College Creek,8,2006,Vinyl Siding,1079,Y,1919,233230
House 393,5687,South & West of Iowa State University,5,1912,Vinyl Siding,780,N,1716,135900
House 394,11409,Edwards,5,1949,Wood Siding,768,Y,1716,131000
House 395,16659,Northwest Ames,7,1977,Plywood,795,Y,2263,235000
House 396,9600,North Ames,6,1953,Hard Board,1416,Y,1644,167000
House 397,7937,Mitchell,6,1984,Hard Board,1003,Y,1003,142500
House 398,13710,Iowa DOT and Rail Road,5,1950,Wood Siding,910,Y,1558,152000
House 399,7399,Somerset,7,1997,Vinyl Siding,975,Y,1950,239000
House 400,11700,Northwest Ames,6,1968,Hard Board,702,Y,1743,175000
House 401,14000,Crawford,6,1950,Hard Board,1092,Y,1152,158500
House 402,15750,Crawford,5,1953,Metal Siding,1165,Y,1336,157000
House 403,16226,College Creek,8,1998,Vinyl Siding,1028,Y,2452,267000
House 404,13704,College Creek,7,2001,Vinyl Siding,1541,Y,1541,205000
House 405,9800,College Creek,5,1972,Vinyl Siding,894,Y,894,149900
House 406,18386,Old Town,7,1880,Cement Board,1470,Y,3493,295000
House 407,10386,College Creek,8,2004,Cement Board,2000,Y,2000,305900
House 408,13474,Sawyer West,7,1990,Hard Board,700,Y,2243,225000
House 409,7920,Iowa DOT and Rail Road,6,1920,Metal Siding,319,Y,1406,89500
House 410,12342,Edwards,4,1940,Vinyl Siding,861,Y,861,82500
House 411,12378,Northridge Heights,9,2003,Vinyl Siding,1896,Y,1944,360000
House 412,7685,Gilbert,6,1993,Hard Board,697,Y,1501,165600
House 413,8000,North Ames,6,1948,Vinyl Siding,972,Y,972,132000
House 414,7800,Old Town,5,1939,Metal Siding,793,Y,1118,119900
House 415,215245,Timberland,7,1965,Brick Face,2136,Y,2036,375000
House 416,9600,Old Town,7,1925,Wood Siding,728,Y,1641,178000
House 417,7795,Gilbert,7,2004,Vinyl Siding,716,Y,1432,188500
House 418,13005,Northwest Ames,7,1980,Cement Board,845,Y,2353,260000
House 419,9000,Somerset,8,2006,Vinyl Siding,1088,Y,1959,270000
House 420,9900,Northridge,7,1993,Hard Board,1347,Y,2646,260000
House 421,14115,Northwest Ames,7,1980,Plywood,1372,Y,1472,187500
House 422,16259,Northridge Heights,9,2006,Vinyl Siding,1249,Y,2596,342643
House 423,12099,Northridge Heights,8,2004,Vinyl Siding,1136,Y,2468,354000
House 424,10380,Sawyer West,7,1986,Plywood,1502,Y,2730,301000
House 425,5820,Old Town,3,1955,Vinyl Siding,1162,Y,1163,126175
House 426,11275,North Ames,7,1967,Wood Siding,710,Y,2978,242000
House 427,5000,Iowa DOT and Rail Road,5,1941,Metal Siding,720,N,803,87000
House 428,10846,Veenker,8,1993,Brick Face,1719,Y,1719,324000
House 429,11600,North Ames,6,1960,Wood Siding,1383,Y,1383,145250
House 430,11888,Brookside,6,1916,Wood Siding,844,N,2134,214500
House 431,6402,Iowa DOT and Rail Road,5,1920,Wood Siding,596,N,1192,78000
House 432,10624,North Ames,5,1964,Hard Board,1728,Y,1728,119000
House 433,8176,North Ames,5,1958,Wood Siding,1056,Y,1056,139000
House 434,10655,Northridge Heights,8,2003,Vinyl Siding,3206,Y,1629,284000
House 435,8198,Northridge Heights,7,2004,Vinyl Siding,1358,Y,1358,207000
House 436,9042,Gilbert,6,1998,Vinyl Siding,943,Y,1638,192000
House 437,164660,Timberland,5,1965,Plywood,1499,Y,1786,228950
House 438,14157,Stone Brook,9,2005,Vinyl Siding,1922,Y,1922,377426
House 439,9135,College Creek,7,2002,Vinyl Siding,1536,Y,1536,214000
House 440,14145,Northwest Ames,7,1984,Wood Siding,1208,Y,1621,202500
House 441,12400,North Ames,6,1958,Wood Siding,1215,Y,1215,155000
House 442,14191,Timberland,8,2002,Vinyl Siding,967,Y,1908,202900
House 443,8400,Sawyer West,4,1950,Wood Siding,721,Y,841,82000
House 444,8544,North Ames,3,1949,Stucco,0,N,1040,87500
House 445,8849,Northridge Heights,9,2005,Metal Siding,1684,Y,1684,266000
House 446,2592,Meadow Village,5,1976,Cement Board,536,Y,1112,85000
House 447,6435,Brookside,6,1939,Metal Siding,972,Y,1577,140200
House 448,12772,North Ames,6,1960,Metal Siding,958,Y,958,151500
House 449,17600,North Ames,6,1960,Wood Siding,1478,Y,1478,157500
House 450,2448,Northridge Heights,7,2003,Vinyl Siding,764,Y,1626,154000
House 451,20431,Northridge Heights,9,2005,Cement Board,1848,Y,2728,437154
House 452,7820,Northridge Heights,9,2007,Metal Siding,1869,Y,1869,318061
House 453,5271,Clear Creek,7,1986,Wood Siding,1453,Y,1453,190000
House 454,9084,Edwards,5,1941,Vinyl Siding,616,N,1111,95000
House 455,8520,Old Town,6,1928,Vinyl Siding,624,Y,720,105900
House 456,8400,South & West of Iowa State University,6,1940,Wood Siding,940,Y,1595,140000
House 457,11249,College Creek,6,1995,Vinyl Siding,1200,Y,1200,177500
House 458,9248,Gilbert,6,1992,Hard Board,1158,Y,1167,173000
House 459,4224,Meadow Village,5,1976,Cement Board,1142,Y,1142,134000
House 460,6930,Clear Creek,5,1958,Wood Siding,1062,Y,1352,130000
House 461,12011,Northridge,8,1998,Vinyl Siding,1086,Y,1924,280000
House 462,7540,Mitchell,6,1978,Vinyl Siding,888,Y,912,156000
House 463,9144,Brookside,5,1940,Metal Siding,883,Y,1505,145000
House 464,7301,Edwards,7,2003,Hard Board,0,Y,1922,198500
House 465,1680,Briardale,6,1972,Hard Board,483,Y,987,118000
House 466,18800,Northwest Ames,6,1976,Hard Board,796,Y,1574,190000
House 467,10690,Iowa DOT and Rail Road,5,1920,Vinyl Siding,672,Y,1344,147000
House 468,9500,North Ames,6,1963,Plywood,1394,Y,1394,159000
House 469,9150,North Ames,6,1962,Plywood,1099,Y,1431,165000
House 470,7800,North Ames,5,1954,Hard Board,1268,Y,1268,132000
House 471,9830,North Ames,5,1959,Wood Siding,1063,Y,1287,162000
House 472,8121,Gilbert,6,2000,Vinyl Siding,953,Y,1664,172400
House 473,17120,Clear Creek,4,1959,Wood Shingles,0,Y,1588,134432
House 474,7175,Sawyer West,6,1984,Plywood,744,Y,752,125000
House 475,10634,North Ames,5,1953,Metal Siding,608,Y,1319,123000
House 476,8200,College Creek,7,2003,Vinyl Siding,847,Y,1928,219500
House 477,10020,Edwards,1,1922,Wood Siding,683,N,904,61000
